1,37,47,169,47,169,83,37,83,YOUR BIZ,other
1,461,47,715,47,715,83,461,83,INVOICE #101,other
1,539,79,639,79,639,97,539,97,APRIL 11 \, 2015,other
1,83,163,225,163,225,179,83,179,CLIENT SAMPLE CLIENT,other
1,405,161,567,161,567,181,405,181,PAYABLE TO YOUR NAME,other
1,127,179,261,179,261,197,127,197,123 STREET ADDRESS,other
1,487,181,621,181,621,197,487,197,1234 SYCAMORE AVE,other
1,127,197,245,197,245,217,127,217,CITY; STATE 55555,other
1,485,194,636,194,636,218,485,218,BLACKSBURG VA 24060,other
1,487,217,597,217,597,233,487,233,+1 (555) 555-5555,other
1,75,227,197,227,197,247,75,247,PROJECT #123.456,other
1,485,237,601,237,601,253,485,253,YOU@EXAMPLECOM,other
1,71,261,205,261,205,281,71,281,CONTACT JANE SMITH,other
1,129,285,239,285,239,301,129,301,+1 (555) 555-5555,other
1,126,360,230,360,230,390,126,390,9137.50,other
1,129,391,245,391,245,407,129,407,DUE APRIL 26\, 2015,other
1,65,475,99,475,99,489,65,489,DATE,other
1,127,475,179,475,179,491,127,491,PROJECT,other
1,196,471,277,471,277,492,196,492,DESCRIPTION,other
1,549,475,595,475,595,489,549,489,HOURS,other
1,607,475,641,475,641,489,607,489,RATE,other
1,653,475,711,475,711,489,653,489,AMOUNT,other
1,49,513,113,513,113,529,49,529,2015/4/11,Invoice_Number
1,129,515,177,515,177,529,129,529,INVOICE,other
1,195,513,417,513,417,529,195,529,DISCUSSED REQUIREMENTS WITH CLIENT,Reference_Number
1,613,513,639,513,639,529,613,529,$50,Line_Item_Description
1,657,513,711,513,711,529,657,529,$100.00,Line_Item_SKU
1,47,537,113,537,113,555,47,555,2015/4/11,other
1,129,541,175,541,175,555,129,555,INVOICE,other
1,195,539,341,539,341,555,195,555,WROTE INVOICE IN LATEX,Reference_Number
1,613,539,639,539,639,555,613,555,$50,other
1,665,539,711,539,711,555,665,555,{62.50,Line_Item_SKU
1,49,565,113,565,113,581,49,581,2015/4/11,other
1,129,567,177,567,177,581,129,581,INVOICE,other
1,196,564,365,564,365,584,196,584,PACKAGED INVOICE IN .CLS FILE,Reference_Number
1,613,565,639,565,639,581,613,581,$50,other
1,665,565,711,565,711,581,665,581,$25.00,Line_Item_SKU
1,603,615,639,615,639,631,603,631,TOTAL,other
1,651,611,711,611,711,631,651,631,9187.50,Total
1,607,633,639,633,639,649,607,649,PAID,other
1,659,629,709,629,709,649,659,649,$50.00,other
1,553,651,641,651,641,667,553,667,BALANCE DUE,other
1,651,649,711,649,711,667,651,667,9137.50,other
