1,133,271,358,271,358,315,133,315,SUSHI  MENTAI,other
1,398,273,660,273,660,317,398,317,MAHKOTA CHERAS,other
1,96,315,379,315,379,360,96,360,MIZU MENTAI SDN,other
1,398,318,466,318,466,362,398,362,BHID,other
1,486,314,693,314,693,365,486,365,(1248446-V),other
1,171,360,232,360,232,404,171,404,NO ;,other
1,242,359,573,359,573,408,242,408,1-182 GROUND   FLOOR ,other
1,204,404,556,404,556,454,204,454,JLN  TEMENGGUNG   13/9,other
1,188,449,572,449,572,494,188,494,43200 CHERAS SELANGOR,other
1,134,491,216,491,216,539,134,539,(GST,other
1,313,494,358,494,358,538,313,538,NO,other
1,397,489,639,489,639,539,397,539,001375580 160),other
1,172,579,288,579,288,630,172,630,TAX,other
1,313,581,567,581,567,634,313,634,INVOICE,other
1,27,660,287,660,287,747,27,747,TABLE 9,other
1,27,736,288,736,288,784,27,784,URDER # : 120820,other
1,27,780,376,780,376,829,27,829,BILL#: V042 - 520388,other
1,504,782,639,782,639,833,504,833,PAX(S) :,other
1,648,791,673,791,673,824,648,824,0,other
1,28,828,111,828,111,872,28,872,DATE,other
1,187,827,535,827,535,875,187,875,04-06-2018 18:11;23,Created_Date
1,27,870,286,870,286,918,27,918,CASHIER : SOFYA,other
1,29,959,235,959,235,1008,29,1008,DESCR IPTI0N,other
1,291,959,359,959,359,1009,291,1009,UTY,other
1,416,960,553,960,553,1012,416,1012,U\,PRICE,other
1,579,962,670,962,670,1004,579,1004,TOTAL,other
1,683,960,747,960,747,1004,683,1004,TAX,other
1,28,1047,251,1047,251,1091,28,1091,B| GREEN TEA,other
1,272,1092,345,1092,345,1140,272,1140,3 X,other
1,439,1092,517,1092,517,1136,439,1136,1\,00,other
1,596,1094,677,1094,677,1138,596,1138,3\,00,other
1,698,1092,747,1092,747,1136,698,1136,SR,other
1,30,1133,304,1133,304,1184,30,1184,T2 UNAGI TEMAKI,other
1,277,1182,344,1182,344,1226,277,1226,1X,other
1,437,1181,517,1181,517,1225,437,1225,5\,80,other
1,596,1181,677,1181,677,1225,596,1225,5\,80,other
1,698,1181,747,1181,747,1225,698,1225,SR,other
1,27,1220,395,1220,395,1272,27,1272,R5 TORI TERIVAK 1 DON,other
1,280,1278,340,1278,340,1309,280,1309,1 X,other
1,422,1268,517,1268,517,1312,422,1312,12.80,other
1,579,1270,677,1270,677,1315,579,1315,12.80,other
1,700,1270,747,1270,747,1312,700,1312,SR,other
